model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../1_rigidbody/rigidbody_14.pdb	-	1	-9.711	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	1272.390	1221.670	208.974	1140.450	0.000	0.000	0.000	-9.219	1062.020	-2.047	4025.610	0.000	0.000	0.000	1293.870	23.526	0.000	0.000
../../1_rigidbody/rigidbody_37.pdb	-	2	-8.906	0.122	1.000	0.620	0.396	0.996	0.165	-	-	-	1430.800	1221.670	208.941	1149.870	0.000	0.000	0.000	-10.277	1062.020	-1.884	4025.610	0.000	0.000	0.000	1473.540	44.624	0.000	0.000
../../1_rigidbody/rigidbody_25.pdb	-	3	-6.935	2.985	0.289	13.576	10.134	0.258	3.272	-	-	-	1645.770	1221.670	208.966	1253.910	0.000	0.000	0.000	-8.927	1062.020	-2.213	4025.600	0.000	0.000	0.000	1672.160	28.598	0.000	0.000
../../1_rigidbody/rigidbody_12.pdb	-	4	-6.896	0.158	1.000	0.709	0.461	0.994	0.198	-	-	-	1505.070	1221.660	208.959	1192.890	0.000	0.000	0.000	-8.924	1062.020	-1.642	4025.610	0.000	0.000	0.000	1558.270	54.849	0.000	0.000
../../1_rigidbody/rigidbody_40.pdb	-	5	-6.821	3.459	0.368	15.227	10.429	0.255	4.839	-	-	-	967.355	1221.670	208.969	1012.160	0.000	0.000	0.000	-7.591	1062.020	0.934	4025.610	0.000	0.000	0.000	996.761	28.473	0.000	0.000
../../1_rigidbody/rigidbody_38.pdb	-	6	-6.396	0.171	0.974	0.839	0.527	0.984	0.230	-	-	-	1561.340	1221.670	208.961	1189.800	0.000	0.000	0.000	-8.971	1062.020	-1.622	4025.600	0.000	0.000	0.000	1607.820	48.099	0.000	0.000
../../1_rigidbody/rigidbody_9.pdb	-	7	-5.651	8.883	0.053	21.671	18.320	0.071	10.447	-	-	-	1420.680	1221.670	208.958	1053.850	0.000	0.000	0.000	-9.445	1062.020	0.007	4025.610	0.000	0.000	0.000	1432.600	11.906	0.000	0.000
../../1_rigidbody/rigidbody_16.pdb	-	8	-5.607	11.356	0.079	27.825	22.538	0.060	14.132	-	-	-	941.755	1221.670	208.957	936.653	0.000	0.000	0.000	-4.192	1062.020	-1.715	4025.610	0.000	0.000	0.000	964.943	24.904	0.000	0.000
../../1_rigidbody/rigidbody_31.pdb	-	9	-5.594	8.887	0.053	21.701	18.401	0.071	10.432	-	-	-	1267.030	1221.670	208.955	1047.170	0.000	0.000	0.000	-8.079	1062.020	0.030	4025.610	0.000	0.000	0.000	1292.680	25.622	0.000	0.000
../../1_rigidbody/rigidbody_35.pdb	-	10	-5.370	11.106	0.026	25.207	21.224	0.049	13.373	-	-	-	1650.300	1221.670	208.957	1282.910	0.000	0.000	0.000	-9.983	1062.020	0.604	4025.610	0.000	0.000	0.000	1684.370	33.470	0.000	0.000
