00_topo1	00_topo2	1_rigidbody	1_rigidbody_rank	3_flexref	3_flexref_rank	4_emref	4_emref_rank	6_seletopclusts	6_seletopclusts_rank
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_9.pdb	7	flexref_7.pdb	4	emref_7.pdb	1	cluster_1_model_1.pdb	1
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_14.pdb	1	flexref_1.pdb	1	emref_1.pdb	2	cluster_2_model_1.pdb	2
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_31.pdb	9	flexref_9.pdb	3	emref_9.pdb	3	cluster_3_model_1.pdb	3
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_25.pdb	3	flexref_3.pdb	9	emref_3.pdb	4	cluster_4_model_1.pdb	4
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_16.pdb	8	flexref_8.pdb	8	emref_8.pdb	5	cluster_5_model_1.pdb	5
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_38.pdb	6	flexref_6.pdb	2	emref_6.pdb	6	cluster_6_model_1.pdb	6
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_12.pdb	4	flexref_4.pdb	5	emref_4.pdb	7	cluster_7_model_1.pdb	7
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_37.pdb	2	flexref_2.pdb	7	emref_2.pdb	8	cluster_8_model_1.pdb	8
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_35.pdb	10	flexref_10.pdb	6	emref_10.pdb	9	cluster_9_model_1.pdb	9
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_40.pdb	5	flexref_5.pdb	10	emref_5.pdb	10	cluster_10_model_1.pdb	10
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_34.pdb	11	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_28.pdb	12	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_15.pdb	13	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_13.pdb	14	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_10.pdb	15	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_6.pdb	16	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_8.pdb	17	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_4.pdb	18	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_26.pdb	19	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_27.pdb	20	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_7.pdb	21	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_21.pdb	22	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_18.pdb	23	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_19.pdb	24	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_11.pdb	25	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_1.pdb	26	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_33.pdb	27	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_5.pdb	28	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_23.pdb	29	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_30.pdb	30	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_24.pdb	31	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_2.pdb	32	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_22.pdb	33	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_17.pdb	34	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_29.pdb	35	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_36.pdb	36	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_3.pdb	37	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_32.pdb	38	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_20.pdb	39	-	-	-	-	-	-
vhh_chainA_haddock.psf	pvrig_chainT_haddock.psf	rigidbody_39.pdb	40	-	-	-	-	-	-
